question_id,framework,weight,dimension
T1-B-001,iso-42001,3,ai_inventory
T1-B-001,nist-ai-rmf,3,ai_inventory
T1-B-001,sr-11-7,3,model_inventory
T1-B-001,nist-csf-2,2,asset_management
T1-B-002,iso-42001,3,ai_inventory
T1-B-002,nist-ai-rmf,3,ai_inventory
T1-B-002,sr-11-7,3,model_inventory
T1-B-002,nist-csf-2,2,asset_management
T1-B-003,iso-42001,3,ai_inventory
T1-B-003,nist-ai-rmf,3,ai_inventory
T1-B-003,sr-11-7,3,model_inventory
T1-B-003,nist-csf-2,2,asset_management
T1-B-004,iso-42001,3,ai_inventory
T1-B-004,nist-ai-rmf,3,ai_inventory
T1-B-004,sr-11-7,3,model_inventory
T1-B-004,nist-csf-2,2,asset_management
T1-B-005,iso-42001,3,ai_inventory
T1-B-005,nist-ai-rmf,3,ai_inventory
T1-B-005,sr-11-7,3,model_inventory
T1-B-005,nist-csf-2,2,asset_management
T1-B-006,iso-42001,3,ai_inventory
T1-B-006,nist-ai-rmf,3,ai_inventory
T1-B-006,sr-11-7,3,model_inventory
T1-B-006,nist-csf-2,2,asset_management
T1-B-007,iso-42001,3,ai_inventory
T1-B-007,nist-ai-rmf,3,ai_inventory
T1-B-007,sr-11-7,3,model_inventory
T1-B-007,nist-csf-2,2,asset_management
T1-B-008,iso-42001,3,ai_inventory
T1-B-008,nist-ai-rmf,3,ai_inventory
T1-B-008,sr-11-7,3,model_inventory
T1-B-008,nist-csf-2,2,asset_management
T1-B-009,iso-42001,3,ai_inventory
T1-B-009,nist-ai-rmf,3,ai_inventory
T1-B-009,sr-11-7,3,model_inventory
T1-B-009,nist-csf-2,2,asset_management
T1-B-010,iso-42001,3,ai_inventory
T1-B-010,nist-ai-rmf,3,ai_inventory
T1-B-010,sr-11-7,3,model_inventory
T1-B-010,nist-csf-2,2,asset_management
T1-B-011,iso-42001,3,ai_inventory
T1-B-011,nist-ai-rmf,3,ai_inventory
T1-B-011,sr-11-7,3,model_inventory
T1-B-011,nist-csf-2,2,asset_management
T1-B-013,iso-42001,3,ai_inventory
T1-B-013,nist-ai-rmf,3,ai_inventory
T1-B-013,sr-11-7,3,model_inventory
T1-B-013,nist-csf-2,2,asset_management
T1-B-014,iso-42001,3,ai_inventory
T1-B-014,nist-ai-rmf,3,ai_inventory
T1-B-014,sr-11-7,3,model_inventory
T1-B-014,nist-csf-2,2,asset_management
T1-B-015,iso-42001,3,ai_inventory
T1-B-015,nist-ai-rmf,3,ai_inventory
T1-B-015,sr-11-7,3,model_inventory
T1-B-015,nist-csf-2,2,asset_management
T1-B-016,iso-42001,3,ai_inventory
T1-B-016,nist-ai-rmf,3,ai_inventory
T1-B-016,sr-11-7,3,model_inventory
T1-B-016,nist-csf-2,2,asset_management
T1-B-017,iso-42001,3,ai_inventory
T1-B-017,nist-ai-rmf,3,ai_inventory
T1-B-017,sr-11-7,3,model_inventory
T1-B-017,nist-csf-2,2,asset_management
T1-B-019,iso-42001,3,ai_inventory
T1-B-019,nist-ai-rmf,3,ai_inventory
T1-B-019,sr-11-7,3,model_inventory
T1-B-019,nist-csf-2,2,asset_management
T1-B-021,iso-42001,3,ai_inventory
T1-B-021,nist-ai-rmf,3,ai_inventory
T1-B-021,sr-11-7,3,model_inventory
T1-B-021,nist-csf-2,2,asset_management
T1-B-022,iso-42001,3,ai_inventory
T1-B-022,nist-ai-rmf,3,ai_inventory
T1-B-022,sr-11-7,3,model_inventory
T1-B-022,nist-csf-2,2,asset_management
T1-B-023,iso-42001,3,ai_inventory
T1-B-023,nist-ai-rmf,3,ai_inventory
T1-B-023,sr-11-7,3,model_inventory
T1-B-023,nist-csf-2,2,asset_management
T1-B-024,iso-42001,3,ai_inventory
T1-B-024,nist-ai-rmf,3,ai_inventory
T1-B-024,sr-11-7,3,model_inventory
T1-B-024,nist-csf-2,2,asset_management
T1-C-002,iso-42001,2,resources
T1-C-002,sr-11-7,2,model_cost
T1-C-002,nist-ai-rmf,1,resources
T1-C-003,iso-42001,2,resources
T1-C-003,sr-11-7,2,model_cost
T1-C-003,nist-ai-rmf,1,resources
T1-C-004,iso-42001,2,resources
T1-C-004,sr-11-7,2,model_cost
T1-C-004,nist-ai-rmf,1,resources
T1-C-005,iso-42001,2,resources
T1-C-005,sr-11-7,2,model_cost
T1-C-005,nist-ai-rmf,1,resources
T1-C-006,iso-42001,2,resources
T1-C-006,sr-11-7,2,model_cost
T1-C-006,nist-ai-rmf,1,resources
T1-C-007,iso-42001,2,resources
T1-C-007,sr-11-7,2,model_cost
T1-C-007,nist-ai-rmf,1,resources
T1-C-010,iso-42001,2,resources
T1-C-010,sr-11-7,2,model_cost
T1-C-010,nist-ai-rmf,1,resources
T1-C-011,iso-42001,2,resources
T1-C-011,sr-11-7,2,model_cost
T1-C-011,nist-ai-rmf,1,resources
T1-C-012,iso-42001,2,resources
T1-C-012,sr-11-7,2,model_cost
T1-C-012,nist-ai-rmf,1,resources
T1-C-013,iso-42001,2,resources
T1-C-013,sr-11-7,2,model_cost
T1-C-013,nist-ai-rmf,1,resources
T1-C-014,iso-42001,2,resources
T1-C-014,sr-11-7,2,model_cost
T1-C-014,nist-ai-rmf,1,resources
T1-C-015,iso-42001,2,resources
T1-C-015,sr-11-7,2,model_cost
T1-C-015,nist-ai-rmf,1,resources
T1-C-016,iso-42001,2,resources
T1-C-016,sr-11-7,2,model_cost
T1-C-016,nist-ai-rmf,1,resources
T1-D-001,eu-ai-act,4,risk_classification
T1-D-001,nist-ai-rmf,3,context
T1-D-001,sr-11-7,3,materiality
T1-D-001,iso-42001,3,system_scope
T1-D-001,nist-csf-2,2,asset_criticality
T1-D-005,eu-ai-act,4,risk_classification
T1-D-005,nist-ai-rmf,3,context
T1-D-005,sr-11-7,3,materiality
T1-D-005,iso-42001,3,system_scope
T1-D-005,nist-csf-2,2,asset_criticality
T1-D-007,eu-ai-act,4,risk_classification
T1-D-007,nist-ai-rmf,3,context
T1-D-007,sr-11-7,3,materiality
T1-D-007,iso-42001,3,system_scope
T1-D-007,nist-csf-2,2,asset_criticality
T1-D-008,eu-ai-act,4,risk_classification
T1-D-008,nist-ai-rmf,3,context
T1-D-008,sr-11-7,3,materiality
T1-D-008,iso-42001,3,system_scope
T1-D-008,nist-csf-2,2,asset_criticality
T1-D-009,eu-ai-act,4,risk_classification
T1-D-009,nist-ai-rmf,3,context
T1-D-009,sr-11-7,3,materiality
T1-D-009,iso-42001,3,system_scope
T1-D-009,nist-csf-2,2,asset_criticality
T1-D-010,eu-ai-act,4,risk_classification
T1-D-010,nist-ai-rmf,3,context
T1-D-010,sr-11-7,3,materiality
T1-D-010,iso-42001,3,system_scope
T1-D-010,nist-csf-2,2,asset_criticality
T1-D-011,eu-ai-act,4,risk_classification
T1-D-011,nist-ai-rmf,3,context
T1-D-011,sr-11-7,3,materiality
T1-D-011,iso-42001,3,system_scope
T1-D-011,nist-csf-2,2,asset_criticality
T1-D-012,eu-ai-act,4,risk_classification
T1-D-012,nist-ai-rmf,3,context
T1-D-012,sr-11-7,3,materiality
T1-D-012,iso-42001,3,system_scope
T1-D-012,nist-csf-2,2,asset_criticality
T1-D-013,eu-ai-act,4,risk_classification
T1-D-013,nist-ai-rmf,3,context
T1-D-013,sr-11-7,3,materiality
T1-D-013,iso-42001,3,system_scope
T1-D-013,nist-csf-2,2,asset_criticality
T1-D-014,eu-ai-act,4,risk_classification
T1-D-014,nist-ai-rmf,3,context
T1-D-014,sr-11-7,3,materiality
T1-D-014,iso-42001,3,system_scope
T1-D-014,nist-csf-2,2,asset_criticality
T1-D-015,eu-ai-act,4,risk_classification
T1-D-015,nist-ai-rmf,3,context
T1-D-015,sr-11-7,3,materiality
T1-D-015,iso-42001,3,system_scope
T1-D-015,nist-csf-2,2,asset_criticality
T1-D-016,eu-ai-act,4,risk_classification
T1-D-016,nist-ai-rmf,3,context
T1-D-016,sr-11-7,3,materiality
T1-D-016,iso-42001,3,system_scope
T1-D-016,nist-csf-2,2,asset_criticality
T1-D-017,eu-ai-act,4,risk_classification
T1-D-017,nist-ai-rmf,3,context
T1-D-017,sr-11-7,3,materiality
T1-D-017,iso-42001,3,system_scope
T1-D-017,nist-csf-2,2,asset_criticality
T1-D-018,eu-ai-act,4,risk_classification
T1-D-018,nist-ai-rmf,3,context
T1-D-018,sr-11-7,3,materiality
T1-D-018,iso-42001,3,system_scope
T1-D-018,nist-csf-2,2,asset_criticality
T1-D-019,eu-ai-act,4,risk_classification
T1-D-019,nist-ai-rmf,3,context
T1-D-019,sr-11-7,3,materiality
T1-D-019,iso-42001,3,system_scope
T1-D-019,nist-csf-2,2,asset_criticality
T1-E-001,nist-csf-2,4,protect
T1-E-001,eu-ai-act,3,data_governance
T1-E-001,nist-ai-rmf,3,data_quality
T1-E-001,iso-42001,3,data_management
T1-E-001,sr-11-7,3,data_quality
T1-E-002,nist-csf-2,4,protect
T1-E-002,eu-ai-act,3,data_governance
T1-E-002,nist-ai-rmf,3,data_quality
T1-E-002,iso-42001,3,data_management
T1-E-002,sr-11-7,3,data_quality
T1-E-003,nist-csf-2,4,protect
T1-E-003,eu-ai-act,3,data_governance
T1-E-003,nist-ai-rmf,3,data_quality
T1-E-003,iso-42001,3,data_management
T1-E-003,sr-11-7,3,data_quality
T1-E-004,nist-csf-2,4,protect
T1-E-004,eu-ai-act,3,data_governance
T1-E-004,nist-ai-rmf,3,data_quality
T1-E-004,iso-42001,3,data_management
T1-E-004,sr-11-7,3,data_quality
T1-E-005,nist-csf-2,4,protect
T1-E-005,eu-ai-act,3,data_governance
T1-E-005,nist-ai-rmf,3,data_quality
T1-E-005,iso-42001,3,data_management
T1-E-005,sr-11-7,3,data_quality
T1-E-006,nist-csf-2,4,protect
T1-E-006,eu-ai-act,3,data_governance
T1-E-006,nist-ai-rmf,3,data_quality
T1-E-006,iso-42001,3,data_management
T1-E-006,sr-11-7,3,data_quality
T1-E-007,nist-csf-2,4,protect
T1-E-007,eu-ai-act,3,data_governance
T1-E-007,nist-ai-rmf,3,data_quality
T1-E-007,iso-42001,3,data_management
T1-E-007,sr-11-7,3,data_quality
T1-E-008,nist-csf-2,4,protect
T1-E-008,eu-ai-act,3,data_governance
T1-E-008,nist-ai-rmf,3,data_quality
T1-E-008,iso-42001,3,data_management
T1-E-008,sr-11-7,3,data_quality
T1-E-009,nist-csf-2,4,protect
T1-E-009,eu-ai-act,3,data_governance
T1-E-009,nist-ai-rmf,3,data_quality
T1-E-009,iso-42001,3,data_management
T1-E-009,sr-11-7,3,data_quality
T1-E-011,nist-csf-2,4,protect
T1-E-011,eu-ai-act,3,data_governance
T1-E-011,nist-ai-rmf,3,data_quality
T1-E-011,iso-42001,3,data_management
T1-E-011,sr-11-7,3,data_quality
T1-E-012,nist-csf-2,4,protect
T1-E-012,eu-ai-act,3,data_governance
T1-E-012,nist-ai-rmf,3,data_quality
T1-E-012,iso-42001,3,data_management
T1-E-012,sr-11-7,3,data_quality
T1-E-014,nist-csf-2,4,protect
T1-E-014,eu-ai-act,3,data_governance
T1-E-014,nist-ai-rmf,3,data_quality
T1-E-014,iso-42001,3,data_management
T1-E-014,sr-11-7,3,data_quality
T1-E-015,nist-csf-2,4,protect
T1-E-015,eu-ai-act,3,data_governance
T1-E-015,nist-ai-rmf,3,data_quality
T1-E-015,iso-42001,3,data_management
T1-E-015,sr-11-7,3,data_quality
T1-E-017,nist-csf-2,4,protect
T1-E-017,eu-ai-act,3,data_governance
T1-E-017,nist-ai-rmf,3,data_quality
T1-E-017,iso-42001,3,data_management
T1-E-017,sr-11-7,3,data_quality
T1-E-018,nist-csf-2,4,protect
T1-E-018,eu-ai-act,3,data_governance
T1-E-018,nist-ai-rmf,3,data_quality
T1-E-018,iso-42001,3,data_management
T1-E-018,sr-11-7,3,data_quality
T1-E-019,nist-csf-2,4,protect
T1-E-019,eu-ai-act,3,data_governance
T1-E-019,nist-ai-rmf,3,data_quality
T1-E-019,iso-42001,3,data_management
T1-E-019,sr-11-7,3,data_quality
T1-E-020,nist-csf-2,4,protect
T1-E-020,eu-ai-act,3,data_governance
T1-E-020,nist-ai-rmf,3,data_quality
T1-E-020,iso-42001,3,data_management
T1-E-020,sr-11-7,3,data_quality
T1-E-021,nist-csf-2,4,protect
T1-E-021,eu-ai-act,3,data_governance
T1-E-021,nist-ai-rmf,3,data_quality
T1-E-021,iso-42001,3,data_management
T1-E-021,sr-11-7,3,data_quality
T1-E-022,nist-csf-2,4,protect
T1-E-022,eu-ai-act,3,data_governance
T1-E-022,nist-ai-rmf,3,data_quality
T1-E-022,iso-42001,3,data_management
T1-E-022,sr-11-7,3,data_quality
T1-E-023,nist-csf-2,4,protect
T1-E-023,eu-ai-act,3,data_governance
T1-E-023,nist-ai-rmf,3,data_quality
T1-E-023,iso-42001,3,data_management
T1-E-023,sr-11-7,3,data_quality
T1-E-024,nist-csf-2,4,protect
T1-E-024,eu-ai-act,3,data_governance
T1-E-024,nist-ai-rmf,3,data_quality
T1-E-024,iso-42001,3,data_management
T1-E-024,sr-11-7,3,data_quality
T1-E-025,nist-csf-2,4,protect
T1-E-025,eu-ai-act,3,data_governance
T1-E-025,nist-ai-rmf,3,data_quality
T1-E-025,iso-42001,3,data_management
T1-E-025,sr-11-7,3,data_quality
T1-E-026,nist-csf-2,4,protect
T1-E-026,eu-ai-act,3,data_governance
T1-E-026,nist-ai-rmf,3,data_quality
T1-E-026,iso-42001,3,data_management
T1-E-026,sr-11-7,3,data_quality
T1-E-027,nist-csf-2,4,protect
T1-E-027,eu-ai-act,3,data_governance
T1-E-027,nist-ai-rmf,3,data_quality
T1-E-027,iso-42001,3,data_management
T1-E-027,sr-11-7,3,data_quality
T1-E-028,nist-csf-2,4,protect
T1-E-028,eu-ai-act,3,data_governance
T1-E-028,nist-ai-rmf,3,data_quality
T1-E-028,iso-42001,3,data_management
T1-E-028,sr-11-7,3,data_quality
T1-E-029,nist-csf-2,4,protect
T1-E-029,eu-ai-act,3,data_governance
T1-E-029,nist-ai-rmf,3,data_quality
T1-E-029,iso-42001,3,data_management
T1-E-029,sr-11-7,3,data_quality
T1-E-030,nist-csf-2,4,protect
T1-E-030,eu-ai-act,3,data_governance
T1-E-030,nist-ai-rmf,3,data_quality
T1-E-030,iso-42001,3,data_management
T1-E-030,sr-11-7,3,data_quality
T1-E-031,nist-csf-2,4,protect
T1-E-031,eu-ai-act,3,data_governance
T1-E-031,nist-ai-rmf,3,data_quality
T1-E-031,iso-42001,3,data_management
T1-E-031,sr-11-7,3,data_quality
T1-E-032,nist-csf-2,4,protect
T1-E-032,eu-ai-act,3,data_governance
T1-E-032,nist-ai-rmf,3,data_quality
T1-E-032,iso-42001,3,data_management
T1-E-032,sr-11-7,3,data_quality
T1-E-033,nist-csf-2,4,protect
T1-E-033,eu-ai-act,3,data_governance
T1-E-033,nist-ai-rmf,3,data_quality
T1-E-033,iso-42001,3,data_management
T1-E-033,sr-11-7,3,data_quality
T1-F-001,iso-42001,4,governance
T1-F-001,eu-ai-act,4,governance
T1-F-001,nist-ai-rmf,4,govern
T1-F-001,sr-11-7,3,governance
T1-F-001,nist-csf-2,3,govern
T1-F-002,iso-42001,4,governance
T1-F-002,eu-ai-act,4,governance
T1-F-002,nist-ai-rmf,4,govern
T1-F-002,sr-11-7,3,governance
T1-F-002,nist-csf-2,3,govern
T1-F-006,iso-42001,4,governance
T1-F-006,eu-ai-act,4,governance
T1-F-006,nist-ai-rmf,4,govern
T1-F-006,sr-11-7,3,governance
T1-F-006,nist-csf-2,3,govern
T1-F-007,iso-42001,4,governance
T1-F-007,eu-ai-act,4,governance
T1-F-007,nist-ai-rmf,4,govern
T1-F-007,sr-11-7,3,governance
T1-F-007,nist-csf-2,3,govern
T1-F-008,iso-42001,4,governance
T1-F-008,eu-ai-act,4,governance
T1-F-008,nist-ai-rmf,4,govern
T1-F-008,sr-11-7,3,governance
T1-F-008,nist-csf-2,3,govern
T1-F-009,iso-42001,4,governance
T1-F-009,eu-ai-act,4,governance
T1-F-009,nist-ai-rmf,4,govern
T1-F-009,sr-11-7,3,governance
T1-F-009,nist-csf-2,3,govern
T1-F-010,iso-42001,4,governance
T1-F-010,eu-ai-act,4,governance
T1-F-010,nist-ai-rmf,4,govern
T1-F-010,sr-11-7,3,governance
T1-F-010,nist-csf-2,3,govern
T1-F-011,iso-42001,4,governance
T1-F-011,eu-ai-act,4,governance
T1-F-011,nist-ai-rmf,4,govern
T1-F-011,sr-11-7,3,governance
T1-F-011,nist-csf-2,3,govern
T1-F-012,iso-42001,4,governance
T1-F-012,eu-ai-act,4,governance
T1-F-012,nist-ai-rmf,4,govern
T1-F-012,sr-11-7,3,governance
T1-F-012,nist-csf-2,3,govern
T1-F-013,iso-42001,4,governance
T1-F-013,eu-ai-act,4,governance
T1-F-013,nist-ai-rmf,4,govern
T1-F-013,sr-11-7,3,governance
T1-F-013,nist-csf-2,3,govern
T1-F-014,iso-42001,4,governance
T1-F-014,eu-ai-act,4,governance
T1-F-014,nist-ai-rmf,4,govern
T1-F-014,sr-11-7,3,governance
T1-F-014,nist-csf-2,3,govern
T1-F-015,iso-42001,4,governance
T1-F-015,eu-ai-act,4,governance
T1-F-015,nist-ai-rmf,4,govern
T1-F-015,sr-11-7,3,governance
T1-F-015,nist-csf-2,3,govern
T1-F-016,iso-42001,4,governance
T1-F-016,eu-ai-act,4,governance
T1-F-016,nist-ai-rmf,4,govern
T1-F-016,sr-11-7,3,governance
T1-F-016,nist-csf-2,3,govern
T1-F-017,iso-42001,4,governance
T1-F-017,eu-ai-act,4,governance
T1-F-017,nist-ai-rmf,4,govern
T1-F-017,sr-11-7,3,governance
T1-F-017,nist-csf-2,3,govern
T1-F-018,iso-42001,4,governance
T1-F-018,eu-ai-act,4,governance
T1-F-018,nist-ai-rmf,4,govern
T1-F-018,sr-11-7,3,governance
T1-F-018,nist-csf-2,3,govern
T1-F-019,iso-42001,4,governance
T1-F-019,eu-ai-act,4,governance
T1-F-019,nist-ai-rmf,4,govern
T1-F-019,sr-11-7,3,governance
T1-F-019,nist-csf-2,3,govern
T1-F-020,iso-42001,4,governance
T1-F-020,eu-ai-act,4,governance
T1-F-020,nist-ai-rmf,4,govern
T1-F-020,sr-11-7,3,governance
T1-F-020,nist-csf-2,3,govern
T1-F-021,iso-42001,4,governance
T1-F-021,eu-ai-act,4,governance
T1-F-021,nist-ai-rmf,4,govern
T1-F-021,sr-11-7,3,governance
T1-F-021,nist-csf-2,3,govern
T1-F-022,iso-42001,4,governance
T1-F-022,eu-ai-act,4,governance
T1-F-022,nist-ai-rmf,4,govern
T1-F-022,sr-11-7,3,governance
T1-F-022,nist-csf-2,3,govern
T1-F-023,iso-42001,4,governance
T1-F-023,eu-ai-act,4,governance
T1-F-023,nist-ai-rmf,4,govern
T1-F-023,sr-11-7,3,governance
T1-F-023,nist-csf-2,3,govern
T1-F-024,iso-42001,4,governance
T1-F-024,eu-ai-act,4,governance
T1-F-024,nist-ai-rmf,4,govern
T1-F-024,sr-11-7,3,governance
T1-F-024,nist-csf-2,3,govern
T1-F-025,iso-42001,4,governance
T1-F-025,eu-ai-act,4,governance
T1-F-025,nist-ai-rmf,4,govern
T1-F-025,sr-11-7,3,governance
T1-F-025,nist-csf-2,3,govern
T1-F-026,iso-42001,4,governance
T1-F-026,eu-ai-act,4,governance
T1-F-026,nist-ai-rmf,4,govern
T1-F-026,sr-11-7,3,governance
T1-F-026,nist-csf-2,3,govern
T1-F-027,iso-42001,4,governance
T1-F-027,eu-ai-act,4,governance
T1-F-027,nist-ai-rmf,4,govern
T1-F-027,sr-11-7,3,governance
T1-F-027,nist-csf-2,3,govern
T1-F-028,iso-42001,4,governance
T1-F-028,eu-ai-act,4,governance
T1-F-028,nist-ai-rmf,4,govern
T1-F-028,sr-11-7,3,governance
T1-F-028,nist-csf-2,3,govern
T1-F-029,iso-42001,4,governance
T1-F-029,eu-ai-act,4,governance
T1-F-029,nist-ai-rmf,4,govern
T1-F-029,sr-11-7,3,governance
T1-F-029,nist-csf-2,3,govern
T1-F-030,iso-42001,4,governance
T1-F-030,eu-ai-act,4,governance
T1-F-030,nist-ai-rmf,4,govern
T1-F-030,sr-11-7,3,governance
T1-F-030,nist-csf-2,3,govern
T1-F-031,iso-42001,4,governance
T1-F-031,eu-ai-act,4,governance
T1-F-031,nist-ai-rmf,4,govern
T1-F-031,sr-11-7,3,governance
T1-F-031,nist-csf-2,3,govern
T1-G-001,iso-42001,3,context_objectives
T1-G-001,nist-ai-rmf,2,strategic_alignment
T1-G-002,iso-42001,3,context_objectives
T1-G-002,nist-ai-rmf,2,strategic_alignment
T1-G-004,iso-42001,3,context_objectives
T1-G-004,nist-ai-rmf,2,strategic_alignment
T1-G-005,iso-42001,3,context_objectives
T1-G-005,nist-ai-rmf,2,strategic_alignment
T1-G-006,iso-42001,3,context_objectives
T1-G-006,nist-ai-rmf,2,strategic_alignment
T1-G-007,iso-42001,3,context_objectives
T1-G-007,nist-ai-rmf,2,strategic_alignment
T1-G-008,iso-42001,3,context_objectives
T1-G-008,nist-ai-rmf,2,strategic_alignment
T1-G-009,iso-42001,3,context_objectives
T1-G-009,nist-ai-rmf,2,strategic_alignment
T1-G-010,iso-42001,3,context_objectives
T1-G-010,nist-ai-rmf,2,strategic_alignment
T1-G-011,iso-42001,3,context_objectives
T1-G-011,nist-ai-rmf,2,strategic_alignment
T1-G-012,iso-42001,3,context_objectives
T1-G-012,nist-ai-rmf,2,strategic_alignment
